1424; K1; Shower; Frank & Albert's Restaurant Roof, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;503.5; 1422 And 1426
1425; K1; Shower; East Wing Roof, Paradise Pool, Squaw Peak Lawn And Piestewa Mountain Obstructed By Tree;477;1423
1426; K1; Shower; Frank & Albert's Patio, Trees, Valet Parking, Obstructed View Of Paradise Pool Entry And Villas, Camelback Mountain In The Distance;429;1424
2100; Q2SSO; Shower; Obstructed View Of Paradise Pool, Cabana Club, Villas;467.5;2102
2101; K1SGO; Shower; Paradise Garden, Valley Wing, Trees;467.5;2103
2102; K1SSO; Shower; Paradise Pool And Water Slide, Palm Trees, Cabana Club, Villas;467.5; 2100 And 2104
2103; K1RRD; Roll-in-shower With Grab Bars; Paradise Garden, Valley Wing, Trees;467.5; 2101 And 2105
2104; Q2SSO; Shower; Paradise Pool And Water Slide, Palm Trees, Cabana Club, Villas;467.5;2102
2105; K1SGO; Regular Shower; Paradise Garden, Valley Wing, Trees;467.5;2103
2106; K1SSO; Shower; Paradise Pool And Water Slide, Palm Trees, Cabana Club, Villas;467.5; N
2107; K1SGO; Shower; Paradise Garden, Valley Wing, Trees;467.5; N
2108; Q2SSO; Shower; Paradise Pool And Water Slide, Palm Trees, Cabana Club, Villas, Slide;467.5; N
2109; Q2SGO; Shower; Paradise Garden And Fountain, Valley Wing, Trees;467.5; N
2110; K1SSO; Shower; Paradise Pool And Water Slide, Palm Trees, Cabana Club, Villas;467.5; N
2112; Q2SSO; Shower; Back Of Paradise Pool, Water Slide, Palm Trees, Spa And Fitness Center Buildings;481.25; N
2113; K1SGO; Shower; Paradise Garden And Fountain, Valley Wing, Trees;467.5; N
2114; K1SSO; Shower; Back Of Paradise Pool Water Slide, Palm Trees, Spa And Fitness Center Buildings, Walkway;467.5; N
2116; Q2SSO; Shower; Palm Trees Bushes, Wall Of;467.5; N
2117; Q2SGO; Shower; Paradise Garden And Fountain, Valley Wing, Trees;467.5;2119
2118; Q2SSO; Shower; Trees, Bush, Wall;467.5; N
2119; K1SGO; Shower; Paradise Garden, Fountain, Sprite;467.5;2117
2120; K1SSO; Shower; Garden, Front Spa Entry;467.5; N
2121; K1SGO; Shower; Paradise Garden, Fountain;481.25;2123
2122; K1SSO; Shower; Wall, Spa Entry;481.25;2124
2123; Q2SGO; Shower; Paradise Garden, Bush;467.5;2121
2124; K1SSO; Shower; Bushes, Spa Building, Walkway;467.5; 2122 And 2126
2126; K1SSO; Shower; Bushes, Spa Building, Walkway;467.5;2124
2200; Q2RRO; Shower; Cabana Roof, Obstructed View Of Pool;467.5; N
2201; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor;467.5; N
2202; Q2RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees;459; N
2203; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor;481.25; N
2204; Q2RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees;481.25; N
2205; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor;481.25; N
2206; K1RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees, Slide;481.25; N
2207; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor;481.25;2209
2208; Q2RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees, Slide;481.25; N
2209; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor;481.25;2207
2210; K1RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees, Slide;481.25; N
2212; Q2RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees, Slide;481.25;2214
2214; K1RRO; Shower; Paradise Pool,Cabanas, Villas, Palm Trees, Slide;481.25;2212
2215; K1J; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor; 657 (Living Room:459, Bedroom:198); N
2216; Q2RRO; Shower; Back Of Slide, Trees, Obstructed View Of Pool;481.25; N
2217; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor, Fountain;481.25; N
2218; K1RRO; Shower; Trees, Front Of Spa;481.25; N
2219; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Patios On Ground Floor, Fountain;481.25; N
2220; Q2RRO; Shower; Palm Trees, Spa Building;481.25; N
2221; Q2RRO; Shower; Paradise Garden And Fountain - View Obstructed By Trees;481.25; N
2222; K1RRO; Shower; Spa Building;481.25;2224
2223; Q2RRO; Shower; Obstructed View Of Paradise Garden, Tree, Roof Covering Recreation;481.25; N
2224; K1RRO; Shower; Spa Building, Palm Trees, Camelback Mountain To The Left;481.25; 2222 And 2226
2226; K1RRO; Shower; Spa Building, Roof, Trees, Camelback Mountain To The Left;432;2224
2301; Q2RRO; Shower; Paradise Garden;498.75; N
2302; K1RRO1; Shower; Paradise Pool, Palm Trees, Cabanas, Villas; 755.25 (Living Room:498.75, Bedroom:256.5); N
2303; Q2RRO; Shower; Paradise Garden, Trees, Garden And Valley Wing;498.75; N
2304; Q2RRO; Shower; Paradise Pool, Cabana Restaurant, Villas;498.75; N
2305; Q2RRO; Shower; Paradise Garden;498.75; N
2306; Q2RRO; Shower; Paradise Pool, Cabana Restaurant, Villas, Water Slide;498.75; N
2307; Q2RRO; Shower; Paradise Garden;498.75;2309
2308; K1RRO; Shower; Paradise Pool, Water Slide, Camelback Mountain To The Left;498.75; N
