2210, K1RRO, shower, pool/slide, 481.25, N
2212, Q2RRO, shower, pool/slide, 481.25, 2214
2214, K1RRO, shower, pool/slide, 481.25  2212
2215, K1J, shower, obs. Paradise Garden/tree/patios roof, 657 (Living:459/Bedrm:198), N
2216, Q2RRO, shower, back of slide/trees/obs. pool, 481.25, N
2217, Q2RRO, shower, obs. Paradise Garden/tree/patios roof/fountain, 481.25, N
2218, K1RRO, shower, trees/front of spa, 481.25, N
2219, Q2RRO, shower, obs. Paradise Garden/tree/patios roof/fountain, 481.25, N
2220, Q2RRO, shower, trees/spa building, 481.25, N
2221, Q2RRO, shower, trees, 481.25, N
2222, K1RRO, shower,  spa building, 481.25, 2224
2223, Q2RRO, shower, obs. Paradise Garden/tree/patios roof, 481.25, N
2224, K1RRO, shower, spa building, 481.25, 2222 AND 2226
2226, K1RRO, shower, roof/trees/obs. Mountain, 432, 2224
2301, Q2RRO, shower, Paradise garden, 498.75, N
2302, K1RRO1, shower, pool, 755.25 (Living:498.75/Bedrm:256.5), N
2303, Q2RRO, shower, Paradise garden, 498.75, N
2304, Q2RRO, shower, pool, 498.75, N
2305, Q2RRO, shower, Paradise garden, 498.75, N
2306, Q2RRO, shower, pool/water slide, 498.75, N
2307, Q2RRO, shower, Paradise garden, 498.75, 2309
2308, K1RRO, shower, pool/water slide, 498.75, N
2309, Q2RRO, shower, Paradise garden/tree, 498.75, 2307
2310, Q2RRO, shower, pool/water slide, 498.75, N
2312, K1RRO, shower, pool/water slide, 498.75, 2314
2314, Q2RRO, shower, trees/spa building, 498.75, 2312
2315, K1J, shower, Paradise garden/trees, 507 (Living:484.5/Bedrm:225), N
2316, K1RRO, shower, back of the slide/hot tub, 498.75, N
2317, Q2RRO, shower, Paradise garden/trees, 498.75, N
2318, Q2RRO, shower, trees/spa building, 498.75, N
2319, Q2RRO, shower, Paradise garden/fountain/trees , 498.75, N
2320, K1RRO, shower, trees/spa building/hot tub, 498.75, N
2321, Q2RRO, shower, Paradise garden/fountain/tree, 498.75, N
2322, Q2RRO, shower, spa roof, 498.75, N
2323, Q2RRO, shower, Paradise garden/tree/roof, 498.75, N
2324, K1RRO, shower, spa roof/trees, 498.75, N
2326, K1RRO, shower, roof/trees/Camelback mtn to the left, 459, N
2401, K1SRO, shower, Piestewa mtn/Paradise garden, 402.5, N
2403, K1SRO, shower, Piestewa mtn/Paradise garden, 402.5, N
2404, K1SRO, shower, pool, 391, N
2405, K1SRO, shower, Piestewa mtn/Paradise garden, 391, N
2406, K1SRO, shower, pool/trees, 391,2410
2407, K1SRO, shower, Piestewa mtn/Paradise garden, 391,2409
2409, K1SRO, shower, Piestewa mtn/Paradise garden, 402.5, 2407
2410, K1RRO1, shower, pool/Camelback mtn to the left, 852, 2406 AND 2412
2412, K1SRO, shower, pool/slide/Camelback mtn to the left, 391, 2410
2414, K1SRO, shower, pool/slide/Camelback mtn to the left, 391, N
2415, K1SRO, shower, Piestewa mtn/trees/Paradise garden, 500, 2417
2416, K1SRO, shower, back of slide/trees/Camelback mtn to the left, 490, N
2417, K1SRO, shower, Piestewa mtn/trees/Paradise garden, 402.5, 2415 AND 2419
2418, K1SRO, shower, trees/slide/obs. pool/Camelback mtn, 391, N
2419, K1SRO, shower, Piestewa mtn/trees/Paradise garden, 391, 2417 AND 2421
2420, K1RRO1, shower, trees/spa building/Camelback mtn to the left, 700, N
2421, K1SRO, shower, Piestewa mtn/trees/Paradise garden, 391, 2419
2423, K1SRO, shower, Piestewa mtn/trees/Paradise garden, 391, N
3101, K1RRO, shower, trees/Ocatilla Wing, 448, 3103
3102, K1SRO, shower,garden/trees, 448, N
3103, Q2RRD, roll-in-shower w/grab bars, Ocatilla Wing/ obs. Ocatilla pool, 448, 3101
3104, Q2SRO, shower, garden/trees, 448, N
3105, K1SRO, shower, lawn/Ocatilla Wing, 448, N
3106, K1SRO, shower, garden, 448, N
3107, Q2RRD, roll-in-shower w/grab bars, Ocatilla Wing/obs. Ocatilla pool, 448, 3109
3108, Q2SRO, shower, garden, 448, N
3109, K1SRO, shower, Ocatilla Wing/obs. Ocatilla pool, 448, 3107 AND 3111
3110, Q2SRO, shower, garden, 448, N
3111, K1SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, 3109
3112, K1SRO, shower, garden, 448, N
3114, Q2SRO, shower, garden/trees/fountain, 448, N
3115, K1SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, N
3117, Q2SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, N
3119, Q2SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, N
3120, Q2SRO, shower, garden/fountain, 448, N
3121, Q2SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, N
3122, K1SRO, shower, garden/fountain, 448, N
3123, K1SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, N
3124, K1SRO, shower, garden/fountain, 434, N
3125, Q2SRO, shower, obs. Ocatilla pool/Ocatilla Wing, 448, N
3126, Q2SRO, shower, garden/fountain, 448, N
3127, K1SRO, shower, obs. Ocatilla pool/pool bar/Ocatilla Wing, 448, N
3128, Q2SRO, shower, garden/trees, 448, N
3129, Q2SRO, shower, obs. Ocatilla pool/pool bar/Ocatilla Wing, 448, N
3130, K1SRO, shower, garden/trees, 448, 3132
3131, Q2SRO, shower, Ocatilla pool gate & bar/Ocatilla Wing 448, 3133
3132, K1SRO, shower, bushes, 448, 3130
3133, K1SRO, shower, Ocatilla Wing/trees, 448, 3131 AND 3135
3135, K1SRO, shower, Ocatilla Wing/trees, 448, 3133
3201, K1SRO, shower, Trees/Ocatilla Wing/Garden, 448, N
3202, K1SRO, shower, garden, 448, N
3203, Q2SRO, shower, Ocatilla Wing, 448, N
3204, Q2SRO, shower, garden/trees, 448, N
3205, K1SRO, shower, Ocatilla Wing, 448, N
3206, K1SRO, shower, garden/trees, 448, N
3207, K1SRO, shower, Ocatilla Wing/obs. pool, 448, 3209
3208, Q2SRO, shower, garden, 448, N
3209, K1SRO, shower, Ocatilla Wing/pool, 448, 3207 AND 3211
3210, Q2SRO, shower, Garden, 448, N
3211, K1SRO, shower, Ocatilla Wing/pool, 448, 3209
3212, K1SRO, shower, Garden/trees,448, N
3214, Q2SRO, shower, garden/fountain, 448, N
3215, K1SRO, shower, Ocatilla Wing/pool, 448, N
3217, Q2SRO, shower, Ocatilla Wing/pool, 448, N
3219, Q2SRO, shower, Ocatilla Wing/pool, 448, N
3220, K1RRO1, shower, garden/fountain/trees, 648 (Living:448/Bedrm:200), N
3221, Q2SRO, shower, Ocatilla Wing/pool, 448, N
3222, K1SRO, shower, garden, 448, N
3223, K1SRO, shower, Ocatilla Wing/pool, 448, N
3224, K1SRO, shower, garden, 448, N
3225, Q2SRO, shower, Ocatilla Wing/pool, 448, N
3226, Q2SRO, shower, garden/fountain, 448, N
3227, Q2SRO, shower, pool/pool bar/Ocatilla wing, 448, N
3228, K1SRO, shower, garden, 448, N
3229, K1SRO, shower, pool/pool bar/Ocatilla wing, 448, N
3230, Q2SRO, shower, garden/trees, 448, N
3231, Q2SRO, shower, Ocatilla Pool Bar/obs. pool, 448, 3233
3232, K1SRO, shower, garden, 672, N
3233, K1SRO, shower, Ocatilla wing/obs. pool, 448, 3231 AND 3235
3235, K1SRO, shower, Ocatilla Wing, 448, 3233
3301, K1RRO1, shower, Ocatilla Wing/trees, 840 (Living:376/Bedrm:464), N
3302, K1RRO, shower, garden, 472, N
3303, Q2RRO, shower, Ocatilla Wing, 472, N
3304, Q2RRO, shower, garden, 472, N
3306, K1RRO, shower, garden, 472, N
3307, K1RRO, shower, Ocatilla wing/obs. pool, 472, 3309
3308, Q2RRO, shower, garden, 472, N
3309, K1RRO, shower, Ocatilla wing/obs. pool, 472, 3307 AND 3311
3310, Q2RRO, shower, garden, 472, N
3311, K1RRO, shower, pool/pool bar/Ocatilla wing, 472, 3309
3312, K1RRO, shower, garden, 472, N
3313, K1RRO, shower, Ocatilla Wing/pool, 472, N
3314, Q2RRO, shower, garden/fountain, 472, N
3317, Q2RRO, shower,  Ocatilla Wing/pool, 472, N
3319, Q2RRO, shower, Ocatilla Wing/pool, 472, N
3320, K1J, shower, garden, 696 (Living:472/Bedrm:224), N
3321, Q2RRO, shower, Ocatilla Wing/pool, 472, N
3322, K1RRO, shower, garden/trees, 472, N
